,open_time,open,high,low,close,volume,close_time,quote_volumn,number_of_trades,taker_buy_volume,taker_buy_quote_volume,ignore
0,1717002000000,67555.18000000,67680.00000000,67329.99000000,67611.12000000,806.00111000,1717005599999,54425393.81002000,48085,407.00156000,27487474.92153670,0
1,1717005600000,67611.12000000,67623.10000000,67222.22000000,67392.83000000,729.97775000,1717009199999,49206095.32207140,45535,345.68443000,23300668.26509420,0
2,1717009200000,67392.82000000,67742.00000000,67216.01000000,67266.78000000,642.71264000,1717012799999,43348464.33134010,35607,286.74000000,19340338.31289200,0
3,1717012800000,67266.78000000,67494.57000000,67151.35000000,67485.76000000,563.60468000,1717016399999,37943522.03256630,29928,332.27031000,22370352.21412190,0
4,1717016400000,67485.76000000,67810.00000000,67325.08000000,67700.42000000,568.59190000,1717019999999,38418627.73415630,44478,293.88255000,19859773.07779250,0
5,1717020000000,67700.42000000,67826.09000000,67605.94000000,67680.01000000,395.25117000,1717023599999,26754950.91651930,22438,180.04339000,12186862.60589750,0
6,1717023600000,67680.01000000,67731.59000000,67576.06000000,67652.42000000,454.00680000,1717027199999,30721275.79821110,23042,188.32910000,12743020.10216870,0
7,1717027200000,67652.41000000,67843.32000000,67551.46000000,67583.00000000,555.86540000,1717030799999,37638346.43960790,28445,217.95471000,14757709.12644820,0
8,1717030800000,67582.99000000,67862.20000000,67471.67000000,67800.00000000,612.84693000,1717034399999,41472487.46388910,29756,263.20444000,17814208.89219560,0
9,1717034400000,67800.00000000,68199.97000000,67788.95000000,67949.10000000,958.14916000,1717037999999,65171967.58643410,44065,561.14803000,38169519.95776700,0
10,1717038000000,67949.11000000,68182.42000000,67924.00000000,68118.20000000,556.83878000,1717041599999,37887012.12968740,28372,259.22806000,17637011.75043110,0
11,1717041600000,68118.20000000,68422.89000000,67984.01000000,68163.00000000,835.69717000,1717045199999,56998018.72688820,37992,396.85280000,27070281.33474980,0
12,1717045200000,68163.00000000,68195.00000000,67967.66000000,68134.14000000,493.19867000,1717048799999,33581887.43237500,32099,214.72816000,14620825.85705980,0
13,1717048800000,68134.13000000,68180.46000000,67728.20000000,67831.25000000,1589.90858000,1717052399999,107941944.48230260,66672,658.47794000,44709470.35876320,0
14,1717052400000,67831.24000000,68037.22000000,67508.42000000,67584.56000000,1515.12996000,1717055999999,102688908.12350960,74460,640.60259000,43413140.29059210,0
15,1717056000000,67584.57000000,67769.11000000,67128.00000000,67688.96000000,1932.25524000,1717059599999,130241389.38301180,85967,936.53067000,63135371.74255620,0
16,1717059600000,67688.96000000,67759.99000000,67459.96000000,67745.94000000,882.44029000,1717063199999,59692742.88759440,32858,512.87691000,34698277.06429130,0
17,1717063200000,67745.94000000,67991.00000000,67541.82000000,67942.08000000,962.17703000,1717066799999,65224588.66061220,39935,551.90843000,37413619.12952890,0
18,1717066800000,67942.08000000,68100.00000000,67815.00000000,67817.01000000,808.98104000,1717070399999,54971360.43439470,42194,351.39884000,23879167.06273860,0
19,1717070400000,67817.01000000,68305.55000000,67755.00000000,68133.34000000,1631.16437000,1717073999999,111064144.33094160,68523,768.29380000,52312332.49209070,0
20,1717074000000,68133.34000000,68678.76000000,68050.00000000,68623.99000000,1849.16498000,1717077599999,126413565.21882580,75931,931.55149000,63690771.52611810,0
21,1717077600000,68623.99000000,68826.31000000,68256.29000000,68359.60000000,2033.11385000,1717081199999,139484468.05813250,76765,1024.11569000,70273885.74559000,0
22,1717081200000,68359.60000000,68612.00000000,68144.00000000,68530.76000000,1549.35568000,1717084799999,106009749.51089260,68979,778.03257000,53243210.80781870,0
23,1717084800000,68530.77000000,68691.64000000,68384.00000000,68676.00000000,988.43940000,1717088399999,67737362.46730930,51766,468.72294000,32123643.00999450,0
24,1717088400000,68676.00000000,69500.00000000,68664.00000000,69315.10000000,3039.26714000,1717091999999,210208664.09728040,119090,1830.78110000,126606298.64236610,0
25,1717092000000,69315.10000000,69420.00000000,69084.00000000,69360.13000000,1377.02896000,1717095599999,95370183.02975820,53300,680.99218000,47162746.75901450,0
26,1717095600000,69360.13000000,69366.46000000,68435.00000000,68653.02000000,1632.93357000,1717099199999,112423965.87265230,69910,678.49318000,46694609.85165310,0
27,1717099200000,68653.02000000,68657.41000000,68050.01000000,68475.99000000,1459.40802000,1717102799999,99706746.60380730,65465,719.60461000,49164339.87452270,0
28,1717102800000,68475.99000000,68534.00000000,68324.00000000,68416.76000000,402.57371000,1717106399999,27546776.72153480,25935,237.20027000,16230723.13717360,0
29,1717106400000,68416.75000000,68438.99000000,68241.79000000,68314.93000000,393.34939000,1717109999999,26880060.78100350,23814,190.61592000,13026573.10140190,0
30,1717110000000,68314.93000000,68518.86000000,68251.00000000,68352.17000000,418.93108000,1717113599999,28644741.07914130,30558,201.05122000,13747507.66391770,0
31,1717113600000,68352.17000000,68465.39000000,68274.00000000,68460.00000000,444.97701000,1717117199999,30414344.97883090,35826,226.40615000,15473903.14610040,0
32,1717117200000,68460.01000000,68626.20000000,68314.35000000,68440.00000000,624.30972000,1717120799999,42761288.28539230,33138,312.63258000,21413975.06464660,0
33,1717120800000,68439.99000000,68729.73000000,68430.00000000,68539.99000000,739.18653000,1717124399999,50699424.21962510,33351,389.93003000,26748553.78000300,0
34,1717124400000,68539.99000000,68628.39000000,68487.95000000,68535.81000000,323.49962000,1717127999999,22177228.29190160,21865,127.17967000,8719068.10987130,0
35,1717128000000,68535.81000000,68654.33000000,68486.00000000,68516.59000000,617.95424000,1717131599999,42363256.17309790,27883,271.45109000,18608259.57872200,0
36,1717131600000,68516.59000000,68516.59000000,68290.00000000,68442.72000000,633.98806000,1717135199999,43355749.57428050,34965,275.21265000,18818476.26815770,0
37,1717135200000,68442.72000000,68456.23000000,68225.52000000,68272.00000000,544.64439000,1717138799999,37218457.25664290,29837,271.58813000,18559441.17254410,0
38,1717138800000,68272.00000000,68431.88000000,68075.99000000,68174.99000000,957.89486000,1717142399999,65375061.11056800,40258,475.37936000,32449768.83451020,0
39,1717142400000,68175.00000000,68310.90000000,68130.77000000,68136.00000000,558.93805000,1717145999999,38131180.69205980,33726,300.14037000,20474782.64721130,0
40,1717146000000,68136.01000000,68184.40000000,67876.00000000,67950.00000000,931.05259000,1717149599999,63294118.95101690,38210,408.45994000,27767265.56900720,0
41,1717149600000,67950.00000000,68333.33000000,67930.00000000,68333.33000000,860.56960000,1717153199999,58667764.83525730,38778,503.89288000,34349219.93677700,0
42,1717153200000,68333.33000000,68461.00000000,68280.00000000,68349.73000000,945.90215000,1717156799999,64671848.21780480,43283,456.75872000,31230079.98998760,0
43,1717156800000,68349.73000000,69044.10000000,68320.77000000,68643.59000000,2494.19878000,1717160399999,171494483.80394370,95599,1322.65454000,90944530.17151460,0
44,1717160400000,68643.59000000,68821.01000000,68025.02000000,68078.34000000,2141.49344000,1717163999999,146585793.40998030,81553,971.06135000,66465424.58209790,0
45,1717164000000,68078.34000000,68078.34000000,67264.46000000,67501.76000000,3540.97557000,1717167599999,239730307.35353420,130580,1680.85119000,113811037.93812580,0
46,1717167600000,67501.76000000,67548.38000000,67200.00000000,67215.58000000,1662.47327000,1717171199999,111997321.34883240,71287,835.95099000,56325003.44831440,0
47,1717171200000,67215.58000000,67352.41000000,66670.00000000,67200.01000000,2882.03187000,1717174799999,193027577.87869030,129811,1413.96186000,94687657.12445490,0
48,1717174800000,67200.01000000,67459.66000000,67160.30000000,67342.77000000,885.94352000,1717178399999,59648312.11215440,45379,458.97298000,30900248.47386420,0
49,1717178400000,67342.77000000,67444.47000000,67170.00000000,67414.88000000,952.07983000,1717181999999,64104677.35285820,41828,492.84501000,33183752.69783390,0
50,1717182000000,67414.88000000,67999.00000000,67342.24000000,67681.00000000,1643.46289000,1717185599999,111233664.88914880,59982,969.59291000,65628219.13852690,0
51,1717185600000,67681.00000000,67798.00000000,67600.00000000,67709.04000000,526.31866000,1717189199999,35627426.55213540,25038,264.48988000,17903510.34264460,0
52,1717189200000,67709.04000000,67710.00000000,67500.00000000,67564.91000000,552.26479000,1717192799999,37341350.33870460,25276,231.94261000,15684530.67420400,0
53,1717192800000,67564.91000000,67668.00000000,67509.51000000,67509.52000000,379.27151000,1717196399999,25645344.43977160,20577,190.15147000,12857523.03538210,0
54,1717196400000,67509.52000000,67602.60000000,67239.19000000,67540.01000000,846.89089000,1717199999999,57093070.18344470,39830,406.59546000,27409968.39167520,0
55,1717200000000,67540.01000000,67703.89000000,67507.39000000,67655.66000000,569.87074000,1717203599999,38531227.41521800,27480,282.82932000,19123338.56414210,0
56,1717203600000,67655.66000000,67710.29000000,67428.44000000,67560.00000000,566.55975000,1717207199999,38277220.98825210,23621,227.59647000,15375698.43831350,0
57,1717207200000,67560.00000000,67740.00000000,67546.52000000,67729.05000000,327.71958000,1717210799999,22174701.88711620,17676,174.19432000,11786656.75553030,0
58,1717210800000,67729.05000000,67757.14000000,67623.24000000,67715.31000000,313.20132000,1717214399999,21203326.57446960,17634,140.13703000,9487085.59390820,0
