,open_time,open,high,low,close,volume,close_time,quote_volumn,number_of_trades,taker_buy_volume,taker_buy_quote_volume,ignore
0,1717002000000,3764.26000000,3780.00000000,3750.82000000,3766.20000000,8709.90540000,1717005599999,32779030.16025300,28254,4163.12010000,15667111.49280000,0
1,1717005600000,3766.20000000,3769.75000000,3745.95000000,3758.28000000,8110.90110000,1717009199999,30470835.19180900,24807,3892.34300000,14623755.54501200,0
2,1717009200000,3758.28000000,3772.00000000,3747.64000000,3749.66000000,6699.17280000,1717012799999,25172468.03145100,23542,3620.89010000,13607338.72579100,0
3,1717012800000,3749.66000000,3759.82000000,3742.59000000,3753.60000000,10251.99680000,1717016399999,38467932.90870500,25132,5819.44610000,21837547.76566300,0
4,1717016400000,3753.61000000,3792.99000000,3749.20000000,3777.68000000,14024.42210000,1717019999999,52876563.35077200,52181,8179.88980000,30841403.16765600,0
5,1717020000000,3777.69000000,3789.79000000,3765.96000000,3779.34000000,8362.34830000,1717023599999,31600721.27041800,27201,4789.20700000,18097812.34885000,0
6,1717023600000,3779.34000000,3788.55000000,3763.93000000,3767.43000000,7821.50460000,1717027199999,29554492.35979500,25510,4366.08050000,16498007.11084600,0
7,1717027200000,3767.44000000,3782.77000000,3751.90000000,3758.00000000,7176.34780000,1717030799999,27044779.38352300,23523,3749.07220000,14130501.28907900,0
8,1717030800000,3757.99000000,3778.33000000,3750.75000000,3775.55000000,7428.74780000,1717034399999,27974696.54243500,21379,4000.87870000,15067357.67728100,0
9,1717034400000,3775.55000000,3791.78000000,3775.18000000,3779.81000000,9435.49700000,1717037999999,35686688.09913200,26846,4976.64610000,18821811.57912700,0
10,1717038000000,3779.81000000,3797.79000000,3777.08000000,3791.31000000,6121.78160000,1717041599999,23168874.15723100,16896,3228.43350000,12219711.38591200,0
11,1717041600000,3791.30000000,3801.65000000,3780.55000000,3782.60000000,6081.64760000,1717045199999,23048118.71838300,19550,2897.39090000,10982143.30867400,0
12,1717045200000,3782.59000000,3786.51000000,3770.72000000,3784.61000000,5878.13560000,1717048799999,22215272.14397300,17162,3070.09120000,11604756.35610200,0
13,1717048800000,3784.60000000,3786.00000000,3734.00000000,3740.34000000,18295.27390000,1717052399999,68682492.00754900,45647,8301.76830000,31165230.44205600,0
14,1717052400000,3740.33000000,3755.55000000,3712.73000000,3720.32000000,26708.09950000,1717055999999,99752860.69164400,60696,11811.45260000,44117526.79097100,0
15,1717056000000,3720.32000000,3737.50000000,3702.58000000,3735.80000000,17662.79470000,1717059599999,65624179.12207000,43762,9648.36660000,35857396.73405600,0
16,1717059600000,3735.80000000,3737.96000000,3717.76000000,3734.49000000,7873.42030000,1717063199999,29363815.41410800,23322,3929.16690000,14655517.99495000,0
17,1717063200000,3734.50000000,3743.61000000,3715.00000000,3741.53000000,12695.30660000,1717066799999,47329118.77614300,30596,5926.92630000,22097941.67161400,0
18,1717066800000,3741.53000000,3757.25000000,3733.40000000,3737.00000000,11513.03280000,1717070399999,43124868.18407500,29324,5254.22790000,19685279.54874000,0
19,1717070400000,3737.01000000,3771.61000000,3733.39000000,3765.29000000,14697.62290000,1717073999999,55203748.79127400,41984,6897.65800000,25910888.54212500,0
20,1717074000000,3765.29000000,3794.84000000,3760.48000000,3788.56000000,14724.42930000,1717077599999,55600034.87321500,49408,8101.12500000,30594507.51023100,0
21,1717077600000,3788.55000000,3798.97000000,3762.00000000,3767.20000000,13715.96340000,1717081199999,51866559.06445000,42261,6181.44930000,23380984.19667200,0
22,1717081200000,3767.19000000,3786.66000000,3756.12000000,3776.12000000,9151.90500000,1717084799999,34539469.24404600,35362,4441.44520000,16761499.92875800,0
23,1717084800000,3776.12000000,3788.55000000,3769.81000000,3788.40000000,6800.70150000,1717088399999,25699309.39042400,22600,3640.72980000,13760423.98124400,0
24,1717088400000,3788.40000000,3825.35000000,3778.91000000,3811.92000000,17885.11960000,1717091999999,68058571.57390900,47655,9555.86380000,36364647.61507100,0
25,1717092000000,3811.92000000,3819.80000000,3794.16000000,3815.60000000,15295.11350000,1717095599999,58277964.16011200,35361,7574.20180000,28856160.65851100,0
26,1717095600000,3815.61000000,3816.50000000,3752.24000000,3762.01000000,17208.91580000,1717099199999,65068386.11248000,42555,8099.31520000,30610831.75799800,0
27,1717099200000,3762.00000000,3762.40000000,3719.30000000,3737.69000000,16450.77200000,1717102799999,61477214.93521400,45511,7545.25990000,28193970.78131400,0
28,1717102800000,3737.69000000,3755.97000000,3734.33000000,3751.36000000,4507.31760000,1717106399999,16882543.73834400,15537,2399.32750000,8987727.95861300,0
29,1717106400000,3751.37000000,3754.07000000,3744.16000000,3747.44000000,5119.81540000,1717109999999,19192510.71328700,15829,2559.90090000,9596353.54075300,0
30,1717110000000,3747.43000000,3751.99000000,3744.77000000,3747.91000000,4606.52820000,1717113599999,17263930.55429900,12950,2159.45220000,8093513.63144200,0
31,1717113600000,3747.90000000,3753.00000000,3743.95000000,3752.74000000,3990.52670000,1717117199999,14958767.46492200,15651,2031.46670000,7615518.59634400,0
32,1717117200000,3752.75000000,3766.35000000,3740.45000000,3748.49000000,6650.62780000,1717120799999,24964088.49230100,22694,2942.58110000,11047020.33370300,0
33,1717120800000,3748.49000000,3770.00000000,3746.50000000,3752.95000000,5789.74900000,1717124399999,21758980.19440800,18409,2868.52280000,10781467.68935900,0
34,1717124400000,3752.95000000,3766.72000000,3752.94000000,3760.21000000,4128.86520000,1717127999999,15531093.37830000,14500,1816.61710000,6831724.48968800,0
35,1717128000000,3760.21000000,3766.55000000,3756.11000000,3762.61000000,3974.92840000,1717131599999,14955371.92879500,14311,1787.14970000,6724346.96415700,0
36,1717131600000,3762.60000000,3763.50000000,3735.02000000,3746.65000000,6930.97970000,1717135199999,25964168.18560400,21427,2730.27150000,10225576.34153500,0
37,1717135200000,3746.64000000,3751.00000000,3735.40000000,3739.09000000,6277.00590000,1717138799999,23502487.30647800,13745,2689.87280000,10071300.72029600,0
38,1717138800000,3739.09000000,3749.95000000,3724.41000000,3729.11000000,10434.34070000,1717142399999,38948523.62761700,20060,5842.82840000,21812643.81250000,0
39,1717142400000,3729.11000000,3743.62000000,3726.45000000,3735.21000000,7285.68920000,1717145999999,27205438.73737100,26232,3603.76920000,13456717.73453800,0
40,1717146000000,3735.21000000,3748.43000000,3730.01000000,3747.08000000,6459.40480000,1717149599999,24156512.76059600,16736,3746.45040000,14012030.02532600,0
41,1717149600000,3747.09000000,3785.80000000,3747.08000000,3784.68000000,17620.62990000,1717153199999,66451536.59016800,35705,10285.03870000,38782434.73010600,0
42,1717153200000,3784.68000000,3813.20000000,3779.50000000,3802.62000000,15341.87860000,1717156799999,58275765.24200200,36333,8070.96960000,30649937.81300500,0
43,1717156800000,3802.62000000,3849.94000000,3801.29000000,3825.08000000,31697.13990000,1717160399999,121422495.20498900,64810,17494.59600000,67027090.58097200,0
44,1717160400000,3825.07000000,3832.32000000,3781.35000000,3786.34000000,20719.99510000,1717163999999,78820156.47905500,46085,9504.85060000,36153903.71505200,0
45,1717164000000,3786.34000000,3798.59000000,3757.99000000,3773.39000000,22409.63890000,1717167599999,84701889.62772200,50440,10428.22840000,39418883.62883800,0
46,1717167600000,3773.38000000,3777.59000000,3742.35000000,3744.77000000,14221.48370000,1717171199999,53497820.63740900,33889,6153.55710000,23154775.44475100,0
47,1717171200000,3744.77000000,3758.42000000,3723.75000000,3754.16000000,22972.62970000,1717174799999,85900348.40443300,52109,12043.99720000,45033645.83151400,0
48,1717174800000,3754.16000000,3770.74000000,3750.43000000,3768.16000000,8070.41070000,1717178399999,30368824.35955500,26235,4215.40190000,15861692.74860100,0
49,1717178400000,3768.16000000,3788.62000000,3764.02000000,3785.89000000,13462.05920000,1717181999999,50865684.08336800,28688,6942.04990000,26226998.72508300,0
50,1717182000000,3785.89000000,3794.62000000,3775.10000000,3785.45000000,12105.59310000,1717185599999,45826932.39459800,25324,5093.18750000,19282978.14627000,0
51,1717185600000,3785.45000000,3800.94000000,3778.20000000,3794.56000000,5965.15380000,1717189199999,22609750.54021800,20411,3467.17500000,13141578.87440600,0
52,1717189200000,3794.56000000,3795.59000000,3779.93000000,3785.51000000,9950.01250000,1717192799999,37670929.08061900,24694,4639.90890000,17564395.67552000,0
53,1717192800000,3785.51000000,3790.65000000,3767.36000000,3770.38000000,5125.44090000,1717196399999,19369936.23116400,16667,2440.11340000,9221443.14954600,0
